fileName,label,fileStarter
b020_90_100.wav,beach,b020
b020_110_120.wav,beach,b020
b020_100_110.wav,beach,b020
b020_40_50.wav,beach,b020
b020_50_60.wav,beach,b020
b020_30_40.wav,beach,b020
b020_160_170.wav,beach,b020
b020_170_180.wav,beach,b020
b020_150_160.wav,beach,b020
b020_60_70.wav,beach,b020
b020_70_80.wav,beach,b020
b020_80_90.wav,beach,b020
b020_200_210.wav,beach,b020
b020_180_190.wav,beach,b020
b020_190_200.wav,beach,b020
b020_20_30.wav,beach,b020
b020_0_10.wav,beach,b020
b020_10_20.wav,beach,b020
b020_130_140.wav,beach,b020
b020_120_130.wav,beach,b020
b020_140_150.wav,beach,b020
b021_50_60.wav,beach,b021
b021_30_40.wav,beach,b021
b021_40_50.wav,beach,b021
b021_150_160.wav,beach,b021
b021_170_180.wav,beach,b021
b021_160_170.wav,beach,b021
b021_90_100.wav,beach,b021
b021_110_120.wav,beach,b021
b021_100_110.wav,beach,b021
b021_130_140.wav,beach,b021
b021_120_130.wav,beach,b021
b021_140_150.wav,beach,b021
b021_60_70.wav,beach,b021
b021_80_90.wav,beach,b021
b021_70_80.wav,beach,b021
b021_200_210.wav,beach,b021
b021_180_190.wav,beach,b021
b021_190_200.wav,beach,b021
b021_20_30.wav,beach,b021
b021_0_10.wav,beach,b021
b021_10_20.wav,beach,b021
b022_140_150.wav,beach,b022
b022_120_130.wav,beach,b022
b022_130_140.wav,beach,b022
b022_60_70.wav,beach,b022
b022_80_90.wav,beach,b022
b022_70_80.wav,beach,b022
b022_190_200.wav,beach,b022
b022_180_190.wav,beach,b022
b022_200_210.wav,beach,b022
b022_40_50.wav,beach,b022
b022_30_40.wav,beach,b022
b022_50_60.wav,beach,b022
b022_110_120.wav,beach,b022
b022_100_110.wav,beach,b022
b022_90_100.wav,beach,b022
b022_170_180.wav,beach,b022
b022_160_170.wav,beach,b022
b022_150_160.wav,beach,b022
b022_10_20.wav,beach,b022
b022_0_10.wav,beach,b022
b022_20_30.wav,beach,b022
a014_120_130.wav,beach,a014
a014_130_140.wav,beach,a014
a014_140_150.wav,beach,a014
a014_70_80.wav,beach,a014
a014_60_70.wav,beach,a014
a014_80_90.wav,beach,a014
a014_180_190.wav,beach,a014
a014_190_200.wav,beach,a014
a014_200_210.wav,beach,a014
a014_150_160.wav,beach,a014
a014_170_180.wav,beach,a014
a014_160_170.wav,beach,a014
a014_40_50.wav,beach,a014
a014_30_40.wav,beach,a014
a014_50_60.wav,beach,a014
a014_0_10.wav,beach,a014
a014_20_30.wav,beach,a014
a014_10_20.wav,beach,a014
a014_100_110.wav,beach,a014
a014_90_100.wav,beach,a014
a014_110_120.wav,beach,a014
a006_40_50.wav,beach,a006
a006_50_60.wav,beach,a006
a006_30_40.wav,beach,a006
a006_170_180.wav,beach,a006
a006_150_160.wav,beach,a006
a006_160_170.wav,beach,a006
a006_100_110.wav,beach,a006
a006_110_120.wav,beach,a006
a006_90_100.wav,beach,a006
a006_70_80.wav,beach,a006
a006_60_70.wav,beach,a006
a006_80_90.wav,beach,a006
a006_0_10.wav,beach,a006
a006_20_30.wav,beach,a006
a006_10_20.wav,beach,a006
a016_120_130.wav,beach,a016
a016_130_140.wav,beach,a016
a016_140_150.wav,beach,a016
a016_20_30.wav,beach,a016
a016_10_20.wav,beach,a016
a016_0_10.wav,beach,a016
a016_190_200.wav,beach,a016
a016_180_190.wav,beach,a016
a016_200_210.wav,beach,a016
a016_170_180.wav,beach,a016
a016_160_170.wav,beach,a016
a016_150_160.wav,beach,a016
a016_90_100.wav,beach,a016
a016_110_120.wav,beach,a016
a016_100_110.wav,beach,a016
a016_70_80.wav,beach,a016
a016_80_90.wav,beach,a016
a016_60_70.wav,beach,a016
a016_30_40.wav,beach,a016
a016_40_50.wav,beach,a016
a016_50_60.wav,beach,a016
b011_190_200.wav,beach,b011
b011_200_210.wav,beach,b011
b011_180_190.wav,beach,b011
b011_100_110.wav,beach,b011
b011_110_120.wav,beach,b011
b011_90_100.wav,beach,b011
b011_160_170.wav,beach,b011
b011_150_160.wav,beach,b011
b011_170_180.wav,beach,b011
b011_80_90.wav,beach,b011
b011_60_70.wav,beach,b011
b011_70_80.wav,beach,b011
b011_120_130.wav,beach,b011
b011_140_150.wav,beach,b011
b011_130_140.wav,beach,b011
b011_40_50.wav,beach,b011
b011_30_40.wav,beach,b011
b011_50_60.wav,beach,b011
b011_0_10.wav,beach,b011
b011_20_30.wav,beach,b011
b011_10_20.wav,beach,b011
b010_0_10.wav,beach,b010
b010_20_30.wav,beach,b010
b010_10_20.wav,beach,b010
b010_60_70.wav,beach,b010
b010_80_90.wav,beach,b010
b010_70_80.wav,beach,b010
b010_150_160.wav,beach,b010
b010_160_170.wav,beach,b010
b010_170_180.wav,beach,b010
b010_30_40.wav,beach,b010
b010_50_60.wav,beach,b010
b010_40_50.wav,beach,b010
b010_140_150.wav,beach,b010
b010_130_140.wav,beach,b010
b010_120_130.wav,beach,b010
b012_170_180.wav,beach,b012
b012_150_160.wav,beach,b012
b012_160_170.wav,beach,b012
b012_30_40.wav,beach,b012
b012_50_60.wav,beach,b012
b012_40_50.wav,beach,b012
b012_200_210.wav,beach,b012
b012_190_200.wav,beach,b012
b012_180_190.wav,beach,b012
b012_90_100.wav,beach,b012
b012_110_120.wav,beach,b012
b012_100_110.wav,beach,b012
b012_0_10.wav,beach,b012
b012_10_20.wav,beach,b012
b012_20_30.wav,beach,b012
a026_10_20.wav,beach,a026
a026_20_30.wav,beach,a026
a026_0_10.wav,beach,a026
a026_30_40.wav,beach,a026
a026_40_50.wav,beach,a026
a026_50_60.wav,beach,a026
a026_70_80.wav,beach,a026
a026_60_70.wav,beach,a026
a026_80_90.wav,beach,a026
a026_90_100.wav,beach,a026
a026_100_110.wav,beach,a026
a026_110_120.wav,beach,a026
a026_140_150.wav,beach,a026
a026_130_140.wav,beach,a026
a026_120_130.wav,beach,a026
a026_150_160.wav,beach,a026
a026_170_180.wav,beach,a026
a026_160_170.wav,beach,a026
a026_200_210.wav,beach,a026
a026_180_190.wav,beach,a026
a026_190_200.wav,beach,a026
a023_30_40.wav,beach,a023
a023_40_50.wav,beach,a023
a023_50_60.wav,beach,a023
